epoch,accuracy,val_accuracy,loss,val_loss
1,0.13341666758060455,0.05999999865889549,3.2712618221839267,3.5499565601348877
2,0.2737500071525574,0.23759999871253967,2.1581742238874235,1.5772583484649658
3,0.4324166774749756,0.290800005197525,1.5863125175703316,4.086525917053223
4,0.5747083425521851,0.4668000042438507,1.1993638029554858,0.10773157328367233
5,0.6810416579246521,0.5059999823570251,0.9057391128240851,0.1810435652732849
6,0.7471666932106018,0.5759999752044678,0.7085528201404183,2.46638560295105
7,0.796958327293396,0.5612000226974487,0.573403794072389,1.9906240701675415
8,0.8412500023841858,0.6636000275611877,0.4445614769050735,0.003599439049139619
9,0.8549166917800903,0.550000011920929,0.3978371774215096,2.0154035091400146
10,0.8880000114440918,0.6919999718666077,0.32632372285835726,3.8435661792755127
11,0.9005833268165588,0.6948000192642212,0.27743516960714865,0.42686912417411804
12,0.9139583110809326,0.6531999707221985,0.24876489781587832,2.365398645401001
13,0.9258750081062317,0.5680000185966492,0.21262006775523332,0.21694716811180115
14,0.9312916398048401,0.7307999730110168,0.2013574724092905,0.9541329741477966
15,0.9379166960716248,0.7020000219345093,0.18067921425701267,0.41482529044151306
16,0.949958324432373,0.6980000138282776,0.1440505732103702,10.359908103942871
17,0.9587916731834412,0.618399977684021,0.12095636809779885,1.2775568962097168
18,0.952791690826416,0.6007999777793884,0.1397852581958489,0.8684741258621216
19,0.9674999713897705,0.6123999953269958,0.09619724702860412,3.8146950487316644e-08
20,0.9626250267028809,0.6948000192642212,0.11352618173748776,0.14868757128715515
21,0.9621250033378601,0.7688000202178955,0.11557679286799213,0.5110548734664917
22,0.9734166860580444,0.7027999758720398,0.07897275400079498,1.043516294885194e-05
23,0.9700000286102295,0.6420000195503235,0.09541740364789082,0.00017266169015783817
24,0.9627500176429749,0.724399983882904,0.11541487760302913,0.017409879714250565
25,0.9778333306312561,0.7447999715805054,0.064790176888476,2.811298131942749
26,0.9746666550636292,0.692799985408783,0.07695843071439204,2.196597099304199
27,0.9806666374206543,0.7767999768257141,0.056251485626250285,0.022708049044013023
28,0.9735416769981384,0.6815999746322632,0.07581777749087308,0.0050148977898061275
29,0.9832916855812073,0.7563999891281128,0.054557167528728065,0.23914404213428497
30,0.9792916774749756,0.6908000111579895,0.06363009140193476,2.1457636023569648e-07
31,0.9824583530426025,0.7491999864578247,0.05235633558396181,0.05680270120501518
32,0.9792916774749756,0.6416000127792358,0.06435973161626336,6.561859130859375
33,0.968874990940094,0.7188000082969666,0.10264667859592805,4.815964221954346
34,0.981166660785675,0.6899999976158142,0.05891784883217512,0.0018055083928629756
35,0.9776250123977661,0.7387999892234802,0.07373016122356162,1.3870126008987427
36,0.9865833520889282,0.75,0.04325147410305021,0.009105014614760876
37,0.9872083067893982,0.7811999917030334,0.03964335415591989,0.4329308569431305
38,0.9860833287239075,0.6935999989509583,0.041496753820231665,0.9631227254867554
39,0.9849583506584167,0.717199981212616,0.04663586161205089,7.5472283363342285
40,0.9800416827201843,0.6700000166893005,0.09236637661300995,0.0021492696832865477
